"file","protein","cell","input"
"ENCFF396BVL","SLTM","K562",FALSE
"ENCFF712SXL","SLTM","K562",FALSE
"ENCFF885ZMH","PHF6","K562",FALSE
"ENCFF282OCB","PHF6","K562",FALSE
"ENCFF102JHG","NOLC1","K562",FALSE
"ENCFF315OLY","NOLC1","K562",FALSE
"ENCFF499ZKI","FAM120A","K562",FALSE
"ENCFF184QYU","FAM120A","K562",FALSE
"ENCFF032GIW","NOLC1","K562",TRUE
"ENCFF925JID","EXOSC5","K562",FALSE
"ENCFF344ZBI","EXOSC5","K562",FALSE
"ENCFF025VQL","NCBP2","HepG2",FALSE
"ENCFF138FXS","NCBP2","HepG2",FALSE
"ENCFF882PEQ","AQR","HepG2",FALSE
"ENCFF947JHV","AQR","HepG2",FALSE
"ENCFF141QHH","FKBP4","HepG2",FALSE
"ENCFF802VWZ","FKBP4","HepG2",FALSE
"ENCFF989NBF","LSM11","K562",FALSE
"ENCFF938CFK","LSM11","K562",FALSE
"ENCFF605PZM","EIF3G","K562",FALSE
"ENCFF724QGF","EIF3G","K562",FALSE
"ENCFF064QSN","FASTKD2","HepG2",FALSE
"ENCFF307ZHU","FASTKD2","HepG2",FALSE
"ENCFF057VZS","DDX3X","K562",TRUE
"ENCFF978VBW","WDR3","K562",TRUE
"ENCFF945HNC","WRN","K562",FALSE
"ENCFF526BOW","WRN","K562",FALSE
"ENCFF600AGC","SBDS","K562",TRUE
"ENCFF655QSG","DDX21","K562",FALSE
"ENCFF455REV","DDX21","K562",FALSE
"ENCFF576OQO","EIF3D","HepG2",FALSE
"ENCFF678TXO","EIF3D","HepG2",FALSE
"ENCFF974NJE","UPF1","HepG2",TRUE
"ENCFF594ZPR","XRCC6","HepG2",TRUE
"ENCFF216ENA","CPEB4","K562",FALSE
"ENCFF038VZO","CPEB4","K562",FALSE
"ENCFF825YLL","U2AF2","HepG2",TRUE
"ENCFF079MBG","SDAD1","HepG2",FALSE
"ENCFF346NQQ","SDAD1","HepG2",FALSE
"ENCFF212IIR","RBFOX2","K562",TRUE
"ENCFF878TBN","FUBP3","HepG2",TRUE
"ENCFF080VML","TIA1","K562",FALSE
"ENCFF581EBE","TIA1","K562",FALSE
"ENCFF281FSP","SBDS","K562",FALSE
"ENCFF635ASG","SBDS","K562",FALSE
"ENCFF060BMG","SRSF9","HepG2",TRUE
"ENCFF655NIG","SND1","HepG2",FALSE
"ENCFF296HGS","SND1","HepG2",FALSE
"ENCFF960NPN","DGCR8","HepG2",FALSE
"ENCFF414UFZ","DGCR8","HepG2",FALSE
"ENCFF904VAH","IGF2BP2","K562",FALSE
"ENCFF589JKO","IGF2BP2","K562",FALSE
"ENCFF810PWF","EWSR1","K562",TRUE
"ENCFF210ZRQ","FUS","K562",FALSE
"ENCFF341YQM","FUS","K562",FALSE
"ENCFF655LHZ","IGF2BP3","HepG2",TRUE
"ENCFF160LFR","ILF3","HepG2",TRUE
"ENCFF790KXQ","NSUN2","K562",FALSE
"ENCFF862LPP","NSUN2","K562",FALSE
"ENCFF949QUQ","TBRG4","HepG2",TRUE
"ENCFF060BRD","WDR43","HepG2",FALSE
"ENCFF847AOM","WDR43","HepG2",FALSE
"ENCFF811EXB","ABCF1","K562",FALSE
"ENCFF983ABI","ABCF1","K562",FALSE
"ENCFF887TNO","DDX3X","HepG2",TRUE
"ENCFF240QBZ","LARP7","HepG2",TRUE
"ENCFF947MAG","PRPF8","K562",TRUE
"ENCFF555MNK","PPIG","HepG2",FALSE
"ENCFF756NJB","PPIG","HepG2",FALSE
"ENCFF025DXI","ZC3H11A","HepG2",TRUE
"ENCFF463LHG","DDX6","HepG2",TRUE
"ENCFF278RGL","PHF6","K562",TRUE
"ENCFF536WIF","HNRNPA1","HepG2",TRUE
"ENCFF963HES","SAFB","K562",TRUE
"ENCFF156KLS","LSM11","HepG2",TRUE
"ENCFF190ITO","PCBP2","HepG2",TRUE
"ENCFF367FDD","FASTKD2","K562",TRUE
"ENCFF830RMG","RPS3","K562",FALSE
"ENCFF481DSP","RPS3","K562",FALSE
"ENCFF951GRM","SERBP1","K562",FALSE
"ENCFF943MCZ","SERBP1","K562",FALSE
"ENCFF672HFP","PRPF8","HepG2",FALSE
"ENCFF205BLM","PRPF8","HepG2",FALSE
"ENCFF982JPX","IGF2BP1","K562",TRUE
"ENCFF894HGK","BCLAF1","HepG2",TRUE
"ENCFF351QXF","SND1","K562",FALSE
"ENCFF867TFQ","SND1","K562",FALSE
"ENCFF431HUP","POLR2G","HepG2",TRUE
"ENCFF015GLL","QKI","HepG2",TRUE
"ENCFF831VQE","SDAD1","HepG2",TRUE
"ENCFF959GNA","SF3B1","K562",FALSE
"ENCFF564ARY","SF3B1","K562",FALSE
"ENCFF055MTP","LSM11","HepG2",FALSE
"ENCFF252SPM","LSM11","HepG2",FALSE
"ENCFF637GMD","NIP7","HepG2",TRUE
"ENCFF901JSX","DDX6","HepG2",FALSE
"ENCFF398FGK","DDX6","HepG2",FALSE
"ENCFF486XDM","DDX51","K562",FALSE
"ENCFF931ZGZ","DDX51","K562",FALSE
"ENCFF294TTP","SRSF7","K562",TRUE
"ENCFF417RUN","SSB","HepG2",TRUE
"ENCFF336UXX","DHX30","HepG2",TRUE
"ENCFF729XQQ","DDX52","K562",FALSE
"ENCFF529NNX","DDX52","K562",FALSE
"ENCFF571IRN","HNRNPA1","K562",FALSE
"ENCFF876SGL","HNRNPA1","K562",FALSE
"ENCFF226CUA","SDAD1","K562",TRUE
"ENCFF471ZFP","GTF2F1","K562",TRUE
"ENCFF151VWF","UCHL5","HepG2",TRUE
"ENCFF774RKG","SND1","HepG2",TRUE
"ENCFF768FYM","XRN2","K562",TRUE
