"Var1","Var2","distance"
"ENCFF780HTF","ENCFF780HTF",0
"ENCFF016YOC","ENCFF780HTF",1.29844349127182
"ENCFF943EZJ","ENCFF780HTF",3.27570617206983
"ENCFF751GZQ","ENCFF780HTF",3.15607197007481
"ENCFF145NQB","ENCFF780HTF",2.18287951371571
"ENCFF162LAM","ENCFF780HTF",3.01875682044888
"ENCFF515CUN","ENCFF780HTF",2.13369744389027
"ENCFF704TQZ","ENCFF780HTF",2.06659625935162
"ENCFF184QYU","ENCFF780HTF",1.34462907730673
"ENCFF149SFF","ENCFF780HTF",3.02322234413965
"ENCFF210ZRQ","ENCFF780HTF",0.994971284289277
"ENCFF059PZS","ENCFF780HTF",1.90325143391521
"ENCFF198ISB","ENCFF780HTF",4.27658573566085
"ENCFF894NKS","ENCFF780HTF",4.05107346633416
"ENCFF427IMN","ENCFF780HTF",3.92432051122195
"ENCFF544NQL","ENCFF780HTF",4.21515779301746
"ENCFF589JKO","ENCFF780HTF",3.96807229426434
"ENCFF270FPU","ENCFF780HTF",5.06918157107232
"ENCFF698TGL","ENCFF780HTF",3.66460158354115
"ENCFF202RTW","ENCFF780HTF",2.38539903990025
"ENCFF685FNB","ENCFF780HTF",2.56811940149626
"ENCFF252SPM","ENCFF780HTF",2.30478921446384
"ENCFF938CFK","ENCFF780HTF",1.62172941396509
"ENCFF102JHG","ENCFF780HTF",2.24797028678304
"ENCFF551NSA","ENCFF780HTF",2.84220279301746
"ENCFF974AOE","ENCFF780HTF",1.94136172069825
"ENCFF138HUE","ENCFF780HTF",2.25151326683292
"ENCFF041ETC","ENCFF780HTF",3.58596548628429
"ENCFF803QKO","ENCFF780HTF",5.41646657107232
"ENCFF231WHF","ENCFF780HTF",3.47789790523691
"ENCFF511HSJ","ENCFF780HTF",4.52565071072319
"ENCFF416HFS","ENCFF780HTF",2.8075858478803
"ENCFF923ZPC","ENCFF780HTF",2.93757046134663
"ENCFF258DPQ","ENCFF780HTF",5.30790511221945
"ENCFF080VML","ENCFF780HTF",5.02179275561097
"ENCFF902OZA","ENCFF780HTF",3.23767608478803
"ENCFF811KHK","ENCFF780HTF",1.26328753117207
"ENCFF948AOR","ENCFF780HTF",1.6273652244389
"ENCFF904WAE","ENCFF780HTF",1.93429170822943
"ENCFF709BYW","ENCFF780HTF",2.39811319201995
